Strasse;Hausnr1;Hausnr2;Art;Wohnlage;Wohnlagenkennwert;Stadtteil
Farenkoppel;3;-5;U;gut;5,551;Volksdorf
Farenkoppel;6;-34;G;gut;5,592;Volksdorf
Farenlandstieg;1;-   019d;S;gut;1,562;Farmsen-Berne
Farkenwisch;2;-   029b;S;gut;0,601;Duvenstedt
Farmsener Hoehe;2;-46;G;normal;-4,81;Farmsen-Berne
Farmsener Hoehe;3;-13;U;normal;-4,485;Farmsen-Berne
Farmsener Hoehe;15;-33;U;normal;-4,156;Farmsen-Berne
Farmsener Hoehe;37;-39;U;normal;-4,356;Farmsen-Berne
Farmsener Landstrasse;1;-23;U;gut;1,167;Volksdorf
Farmsener Landstrasse;4;-70;G;gut;1,647;Volksdorf
Farmsener Landstrasse;29;-33;U;gut;1,442;Volksdorf
Farmsener Landstrasse;35;-53;U;gut;2,187;Volksdorf
Farmsener Landstrasse;71;-81;U;gut;2,942;Volksdorf
Farmsener Landstrasse;72;-   078c;G;gut;3,022;Volksdorf
Farmsener Landstrasse;83;-   099d;U;gut;3,628;Volksdorf
Farmsener Landstrasse;101;-119;U;gut;3,188;Volksdorf
Farmsener Landstrasse;121;-139;U;gut;4,041;Volksdorf
Farmsener Landstrasse;162;-204;G;gut;3,696;Volksdorf
Farmsener Landstrasse;175;-177;U;gut;4,397;Volksdorf
Farmsener Landstrasse;188;-200;G;gut;4,13;Volksdorf
Farmsener Landstrasse;189;-193;U;gut;4,217;Volksdorf
Farmsener Weg;1;-33;U;gut;0,596;Wellingsbuettel
Farmsener Weg;2;-8;G;gut;0,447;Wellingsbuettel
Farmsener Weg;10;-50;G;gut;0,892;Wellingsbuettel
Farmsener Weg;54;-68;G;gut;0,859;Wellingsbuettel
Farmsener Zoll;2;-20;G;normal;-4,107;Rahlstedt
Farmsener Zoll;9;-19;U;normal;-4,122;Rahlstedt
Farnhornweg;5;-75;U;normal;-13,995;Lurup
Farnhornweg;36;-40;G;normal;-13,521;Lurup
Farnhornweg;44;-46;G;normal;-13,073;Lurup
Farnhornweg;50;-80;G;normal;-19,548;Lurup
Farnhornweg;82;-88;G;normal;-2,415;Lurup
Farnstieg;1;-11;U;gut;2,745;Rissen
Farnstieg;6;-26;G;gut;2,6;Rissen
Farnstieg;13;-21;U;gut;2,45;Rissen
Farnstrasse;3;-51;U;normal;-2,148;Fuhlsbuettel
Farnstrasse;4;-52;G;normal;-2,073;Fuhlsbuettel
Farnweg;1;-12;S;normal;-2,064;Schnelsen
Farnweg;3;-15;U;normal;-1,77;Schnelsen
Fasanengrund;12;-22;G;gut;1,107;Spadenland
Fasanenhain;1;-19;S;gut;1,483;Wellingsbuettel
Fasanenstieg;2;-19;S;gut;2,257;Wohldorf-Ohlstedt
Fasanenweg;1;-7;U;normal;-8,039;Rahlstedt
Fasanenweg;2;-22;G;normal;-7,932;Rahlstedt
Fassbahn;1;-27;U;gut;-0,468;Eissendorf
Fassbahn;2;-14;G;gut;-0,339;Eissendorf
Fassbahn;16;-28;G;normal;-0,873;Eissendorf
Fassbinderweg;8;-28;G;normal;-5,788;Neugraben-Fischbek
Fattsbarg;4;-6;G;gut;5,062;Rahlstedt
Feddersenstrasse;001a;-19;U;gut;3,274;Gross Flottbek
Feddersenstrasse;2;-20;G;gut;3,133;Gross Flottbek
Feekstreek;1;-6;S;normal;-4,519;Finkenwerder
Fehlandtstrasse;43;-43;U;gut;5,994;Neustadt
Fehlinghoehe;1;-21;U;normal;-28,826;Steilshoop
Fehlinghoehe;2;-16;G;normal;-28,565;Steilshoop
Fehmarnstrasse;1;-17;U;normal;-8,695;Tonndorf
Fehmarnstrasse;2;-12;G;normal;-9,012;Tonndorf
Fehnweg;1;-195;U;gut;-0,333;Langenhorn
Fehnweg;2;-98;G;normal;-1,028;Langenhorn
Fehrsweg;1;-25;U;normal;-3;Fuhlsbuettel
Fehrsweg;2;-24;G;normal;-2,977;Fuhlsbuettel
Fehsenfeldstrasse;1;-5;U;normal;-1,908;Rahlstedt
Fehsenfeldstrasse;2;-32;G;normal;-2,008;Rahlstedt
Fehsenfeldstrasse;7;-17;U;normal;-2,072;Rahlstedt
Fehsenfeldstrasse;19;-27;U;normal;-2,101;Rahlstedt
Feilenhauerweg;1;-1;U;normal;-5,76;Langenhorn
Feiningerstrasse;2;-16;G;normal;-18,588;Billstedt
Feldblick;001a;-18;S;gut;2,447;Duvenstedt
Feldblick;001g;-   023b;U;gut;3,245;Duvenstedt
Feldblumenweg;1;-9;U;gut;4,182;Sasel
Feldblumenweg;001a;-   001d;U;gut;4,341;Sasel
Feldblumenweg;2;-2;G;gut;4,581;Sasel
Feldblumenweg;14;-24;G;gut;4,329;Sasel
Feldbrunnenstrasse;2;-34;G;gut;11,452;Rotherbaum
Feldbrunnenstrasse;3;-33;U;gut;11,559;Rotherbaum
Feldbrunnenstrasse;40;-46;G;gut;11,65;Rotherbaum
Feldbrunnenstrasse;41;-57;U;gut;11,575;Rotherbaum
Feldbrunnenstrasse;64;-76;G;gut;11,537;Rotherbaum
Feldbrunnenstrasse;69;-69;U;gut;11,508;Rotherbaum
Feldhoopstuecken;037a;-53;U;normal;-1,576;Lokstedt
Feldhoopstuecken;42;-62;G;normal;-1,443;Lokstedt
Feldkamp;1;-8;S;gut;3,539;Volksdorf
Feldlerchenweg;1;-27;U;normal;-9,137;Tonndorf
Feldlerchenweg;2;-10;G;normal;-9,159;Tonndorf
Feldlerchenweg;24;-28;G;normal;-9,232;Tonndorf
Feldnerstrasse;1;-11;U;normal;-9,524;Heimfeld
Feldnerstrasse;2;-8;G;normal;-9,522;Heimfeld
Feldrain;1;-11;U;normal;-4,403;Wilhelmsburg
Feldrain;6;-24;G;normal;-4,687;Wilhelmsburg
Feldrosenweg;1;-31;U;normal;-4,144;Eidelstedt
Feldrosenweg;4;-48;G;normal;-4,213;Eidelstedt
Feldrosenweg;33;-41;U;normal;-4,072;Eidelstedt
Feldschmiede;1;-19;U;normal;-6,543;Farmsen-Berne
Feldschmiede;002a;-32;G;normal;-6,524;Farmsen-Berne
Feldschmiede;023a;-   027k;U;normal;-6,496;Farmsen-Berne
Feldschmiede;031a;-   033g;U;normal;-6,627;Farmsen-Berne
Feldstegel;2;-126;G;gut;2,713;Neuengamme
Feldstegel;3;-3;U;gut;1,744;Neuengamme
Feldstrasse;26;-37;S;normal;-11,928;St. Pauli
Feldstrasse;037a;-47;S;normal;-11,534;St. Pauli
Feldstrasse;48;-60;S;normal;-11,519;St. Pauli
Feldweg 65;5;-15;U;gut;-0,079;Suelldorf
Feldweg 85;24;-24;G;gut;9,219;Rissen
Felginerweg;1;-3;U;normal;-17,947;Billstedt
Felginerweg;002a;-   018c;G;normal;-17,912;Billstedt
Felix-Dahn-Strasse;2;-8;G;normal;-1,415;Eimsbuettel
Felix-Jud-Ring;1;-7;U;normal;-14,392;Neuallermoehe
Felix-Jud-Ring;2;-66;G;normal;-7,855;Neuallermoehe
Felix-Jud-Ring;9;-27;U;normal;-15,201;Neuallermoehe
Felix-Jud-Ring;70;-282;G;normal;-2,037;Neuallermoehe
Felix-Jud-Ring;294;-474;G;normal;-0,828;Neuallermoehe
Felix-Jud-Ring;301;-381;U;normal;-1,305;Neuallermoehe
Felix-Jud-Ring;401;-401;U;normal;-18,37;Neuallermoehe
Felix-Jud-Ring;403;-405;U;normal;-17,643;Neuallermoehe
Femerlingstrasse;4;-14;G;normal;-13,564;Eissendorf
Femerlingstrasse;5;-5;U;normal;-13,696;Eissendorf
Femerlingstrasse;7;-11;U;normal;-13,638;Eissendorf
Femerlingstrasse;13;-19;U;normal;-8,006;Eissendorf
Femerlingstrasse;16;-28;G;normal;-7,355;Eissendorf
Femerlingstrasse;21;-   027c;U;normal;-7,392;Eissendorf
Femerlingstrasse;029a;-   029c;U;normal;-7,498;Eissendorf
Fenglerstrasse;3;-3;U;normal;-7,239;Wandsbek
Fenglerstrasse;9;-   011b;U;normal;-4,682;Wandsbek
Fenglerstrasse;13;-25;U;normal;-4,581;Wandsbek
Fenglerstrasse;16;-26;G;normal;-4,581;Wandsbek
Ferdinand-Ancker-Strasse;1;-11;U;gut;5,883;Nienstedten
Ferdinand-Ancker-Strasse;4;-8;G;gut;5,658;Nienstedten
Ferdinand-Beit-Strasse;7;-   013b;U;normal;-8,608;St. Georg
Ferdinand-Beit-Strasse;12;-12;G;normal;-8,869;St. Georg
Ferdinands Hoeh;1;-23;U;gut;5,096;Blankenese
Ferdinands Hoeh;2;-22;G;gut;5,015;Blankenese
Fernblick;1;-11;U;normal;-1,236;Marmstorf
Fernblick;2;-28;G;normal;-1,115;Marmstorf
Fernblick;30;-40;G;normal;-1,147;Marmstorf
Ferner Kamp;1;-14;S;normal;-4,487;Bramfeld
Fernsicht;4;-5;S;gut;15,944;Winterhude
Fernsicht;6;-7;S;gut;16,124;Winterhude
Fersenfeldtsweg;2;-6;G;normal;-1,836;Winterhude
Fersenweg;1;-87;U;gut;0,167;Kirchwerder
Fersenweg;2;-196;G;gut;0,246;Kirchwerder
Fersenweg;202;-220;G;gut;1,9;Kirchwerder
Fersenweg;211;-211;U;gut;1,912;Kirchwerder
Fersenweg;230;-506;G;gut;0,843;Kirchwerder
Fersenweg;491;-493;U;normal;-1,127;Kirchwerder
Fersenweg;511;-537;U;normal;-1,99;Kirchwerder
Fersenweg;520;-536;G;normal;-1,988;Kirchwerder
Fersenweg;538;-550;G;normal;-1,289;Kirchwerder
Fersenweg;541;-561;U;normal;-1,898;Kirchwerder
Fersenweg;550d;-564;G;normal;-1,377;Kirchwerder
Fesslerstrasse;1;-   011b;U;normal;-6,303;Barmbek-Sued
Fesslerstrasse;10;-16;G;normal;-6,21;Barmbek-Sued
Fetrasweg;003a;-23;U;gut;3,264;Rahlstedt
Fetrasweg;4;-20;G;gut;3,078;Rahlstedt
Fettstrasse;1;-37;U;normal;-4,001;Eimsbuettel
Fettstrasse;2;-38;G;normal;-3,989;Eimsbuettel
Feuchtheide;1;-21;S;normal;-1,518;Neugraben-Fischbek
Feuerbachstrasse;1;-23;U;gut;4,652;Gross Flottbek
Feuerbachstrasse;2;-28;G;gut;3,23;Gross Flottbek
Feuerberg;1;-5;U;gut;3,092;Marmstorf
Feuerberg;002a;-10;G;gut;3,042;Marmstorf
Feuerberg;7;-7;U;gut;2,857;Marmstorf
Feuerbergstrasse;1;-33;U;normal;-7,446;Alsterdorf
Feuerbergstrasse;2;-20;G;normal;-5,594;Alsterdorf
Feuerbergstrasse;35;-41;U;normal;-5,85;Alsterdorf
Feuerbergstrasse;43;-43;U;normal;-5,121;Alsterdorf
Feuerteichweg;1;-3;U;gut;-0,561;Marmstorf
Feuerteichweg;4;-6;G;gut;-0,126;Marmstorf
Fibigerstrasse;3;-47;U;normal;-7,211;Langenhorn
Fibigerstrasse;38;-52;G;normal;-6,761;Langenhorn
Fibigerstrasse;49;-109;U;normal;-6,965;Langenhorn
Fibigerstrasse;111;-157;U;normal;-6,226;Langenhorn
Fibigerstrasse;159;-363;U;normal;-4,941;Langenhorn
Fibigerstrasse;288;-406;G;normal;-4,865;Langenhorn
Fichtenkamp;1;-35;U;gut;4,989;Sasel
Fichtenkamp;4;-18;G;gut;3,933;Sasel
Fichtenkamp;22;-28;G;gut;4,654;Sasel
Fichtenweg;1;-10;S;gut;5,014;Marmstorf
Fichtestrasse;2;-20;G;normal;-6,145;Eilbek
Fichtestrasse;5;-33;U;normal;-5,995;Eilbek
Fichtestrasse;35;-47;U;normal;-6,023;Eilbek
Fiddigshagen;2;-24;G;normal;-1,329;Bergedorf
Fiddigshagen;3;-9;U;normal;-1,166;Bergedorf
Fieberkleestieg;1;-32;S;gut;2,864;Lemsahl-Mellingstedt
Fiefstuecken;1;-7;U;gut;-0,171;Winterhude
Fiefstuecken;2;-14;G;gut;-0,428;Winterhude
Fiefstuecken;9;-13;U;normal;-2,344;Winterhude
Fiefstuecken;15;-21;U;normal;-3,863;Winterhude
Fiefstuecken;16;-20;G;normal;-3,801;Winterhude
Fiefstuecken;24;-30;G;normal;-3,316;Winterhude
Fiefstuecken;029a;-   029d;U;normal;-3,559;Winterhude
Fierabendgang;1;-11;S;normal;-0,602;Eissendorf
Fiersbarg;1;-9;U;gut;3,824;Lemsahl-Mellingstedt
Fiersbarg;2;-28;G;gut;4,118;Lemsahl-Mellingstedt
Fiersbarg;13;-51;U;gut;3,668;Lemsahl-Mellingstedt
Fiersbarg;30;-46;G;gut;3,519;Lemsahl-Mellingstedt
Fiersbarg;91;-91;U;gut;3,219;Lemsahl-Mellingstedt
Fiersbarg;93;-93;U;gut;3,359;Lemsahl-Mellingstedt
Fiersbarg;112;-112;G;gut;5,05;Lemsahl-Mellingstedt
Fiersbargstieg;1;-3;U;gut;3,129;Lemsahl-Mellingstedt
Fiersbargstieg;2;-2;G;gut;3,155;Lemsahl-Mellingstedt
Finkenau;1;-5;U;normal;-4,471;Uhlenhorst
Finkenau;2;-8;G;normal;-3,79;Uhlenhorst
Finkenau;008a;-36;G;normal;-5,238;Uhlenhorst
Finkenau;17;-31;U;normal;-5,34;Uhlenhorst
Finkenfurth;1;-7;U;gut;0,303;Rahlstedt
Finkenfurth;2;-10;G;gut;0,254;Rahlstedt
Finkenfurth;13;-25;U;gut;0,298;Rahlstedt
Finkenfurth;14;-26;G;gut;0,286;Rahlstedt
Finkenriek;18;-110;G;normal;-3,613;Wilhelmsburg
Finkenrieker Hauptdeich;12;-12;G;normal;-2,938;Wilhelmsburg
Finkenschlag;1;-15;U;normal;-4,948;Wilhelmsburg
Finkenschlag;2;-20;G;normal;-4,903;Wilhelmsburg
Finkenschlag;17;-19;U;normal;-5,142;Wilhelmsburg
Finkenstieg;3;-31;U;gut;0,172;Rahlstedt
Finkenstieg;8;-32;G;gut;0,193;Rahlstedt
Finkenstieg;36;-56;G;gut;0,389;Rahlstedt
Finkenstieg;41;-53;U;gut;0,372;Rahlstedt
Finkenstrasse;7;-19;U;normal;-12,637;St. Pauli
Finkenwerder Landscheideweg;27;-49;U;normal;-2,376;Finkenwerder
Finkenwerder Landscheideweg;55;-119;U;gut;-0,355;Finkenwerder
Finkenwerder Landscheideweg;100;-170;G;normal;-2,823;Finkenwerder
Finkenwerder Landscheideweg;165;-289;U;normal;-0,645;Finkenwerder
Finkenwerder Landscheideweg;182;-196;G;normal;-2,743;Finkenwerder
Finkenwerder Landscheideweg;204;-290;G;normal;-2,584;Finkenwerder
Finkenwerder Norderdeich;1;-90;S;normal;-7,264;Finkenwerder
Finkenwerder Norderdeich;92;-94;S;normal;-8,189;Finkenwerder
Finkenwerder Norderdeich;107;-112;S;normal;-5,36;Finkenwerder
Finkenwerder Norderdeich;114;-   124h;S;normal;-7,456;Finkenwerder
Finkenwerder Norderdeich;125a;-   132h;S;normal;-7,383;Finkenwerder
Finkenwerder Norderdeich;133;-138;S;normal;-8,786;Finkenwerder
Finkenwerder Suederdeich;9;-21;U;gut;1,759;Finkenwerder
Finkenwerder Suederdeich;22;-262;G;gut;1,598;Finkenwerder
Finkenwerder Suederdeich;57;-65;U;gut;1,328;Finkenwerder
Finkenwerder Westerdeich;1;-23;U;gut;3,172;Finkenwerder
Finksweg;2;-6;G;normal;-7,452;Finkenwerder
Finksweg;10;-16;G;normal;-4,969;Finkenwerder
Finksweg;19;-23;U;normal;-4,414;Finkenwerder
Finksweg;20;-38;G;normal;-4,36;Finkenwerder
Finksweg;25;-53;U;normal;-4,292;Finkenwerder
Finksweg;44;-60;G;normal;-4,277;Finkenwerder
Finksweg;55;-75;U;normal;-4,098;Finkenwerder
Finksweg;64;-64;G;normal;-4,235;Finkenwerder
Finnmarkring;2;-22;G;normal;-10,493;Rahlstedt
Fischadlerstieg;2;-36;G;normal;-8,833;Billstedt
Fischadlerstieg;3;-17;U;normal;-8,826;Billstedt
Fischadlerstieg;19;-39;U;normal;-8,774;Billstedt
Fischbeker Heideweg;1;-19;U;gut;2,904;Neugraben-Fischbek
Fischbeker Heideweg;18;-42;G;gut;4,397;Neugraben-Fischbek
Fischbeker Heideweg;23;-65;U;gut;3,784;Neugraben-Fischbek
Fischbeker Heideweg;71;-73;U;gut;3,682;Neugraben-Fischbek
Fischbeker Heideweg;93;-97;U;gut;3,983;Neugraben-Fischbek
Fischbeker Heuweg;1;-1;U;normal;-6,846;Neugraben-Fischbek
Fischbeker Heuweg;2;-8;G;normal;-6,204;Neugraben-Fischbek
Fischbeker Heuweg;7;-9;U;normal;-11,384;Neugraben-Fischbek
Fischbeker Heuweg;12;-12;G;normal;-8,146;Neugraben-Fischbek
Fischbeker Holtweg;21;-43;U;gut;0,106;Neugraben-Fischbek
Fischbeker Holtweg;24;-24;G;gut;-0,29;Neugraben-Fischbek
Fischbeker Holtweg;45;-75;U;gut;0,822;Neugraben-Fischbek
Fischbeker Holtweg;46;-54;G;gut;0,411;Neugraben-Fischbek
Fischbeker Holtweg;56;-90;G;gut;0,679;Neugraben-Fischbek
Fischbeker Holtweg;77;-83;U;gut;0,844;Neugraben-Fischbek
Fischbeker Holtweg;85;-105;U;gut;0,734;Neugraben-Fischbek
Fischbeker Holtweg;092a;-100;G;gut;0,504;Neugraben-Fischbek
Fischbeker Holtweg;102;-108;G;gut;0,756;Neugraben-Fischbek
Fischbeker Holtweg;107;-129;U;gut;0,935;Neugraben-Fischbek
Fischbeker Holtweg;110;-132;G;gut;0,846;Neugraben-Fischbek
Fischbeker Moor;001a;-5;U;normal;-6,262;Neugraben-Fischbek
Fischbeker Moor;002a;-   002b;G;normal;-6,178;Neugraben-Fischbek
Fischbeker Weg;1;-7;U;normal;-6,454;Neugraben-Fischbek
Fischbeker Weg;4;-6;G;normal;-6,386;Neugraben-Fischbek
Fischbeker Weg;8;-24;G;normal;-5,996;Neugraben-Fischbek
Fischbeker Weg;9;-21;U;normal;-6,062;Neugraben-Fischbek
Fischbeker Weg;23;-33;U;normal;-6,547;Neugraben-Fischbek
Fischbeker Weg;26;-26;G;normal;-6,01;Neugraben-Fischbek
Fischbeker Weg;35;-37;U;normal;-9,277;Neugraben-Fischbek
Fischbeker Weg;36;-38;G;normal;-13,039;Neugraben-Fischbek
Fischbeker Weg;40;-46;G;normal;-14,468;Neugraben-Fischbek
Fischbeker Weg;041a;-   041b;U;normal;-7,785;Neugraben-Fischbek
Fischbeker Winkel;1;-7;S;normal;-5,944;Neugraben-Fischbek
Fischers Allee;4;-24;G;gut;2,666;Ottensen
Fischers Allee;7;-11;U;gut;2,494;Ottensen
Fischers Allee;36;-40;G;gut;0,275;Ottensen
Fischers Allee;37;-61;U;gut;0,749;Ottensen
Fischers Allee;42;-58;G;gut;-0,487;Ottensen
Fischers Allee;60;-72;G;normal;-3,743;Ottensen
Fischers Allee;67;-79;U;normal;-4,177;Ottensen
Fischers Allee;76;-86;G;normal;-5,643;Ottensen
Fischers Allee;85;-97;U;normal;-5,673;Ottensen
Fischmarkt;002a;-20;G;normal;-10,438;Altona-Altstadt
Fischmarkt;3;-11;U;normal;-9,794;Altona-Altstadt
Fischmarkt;13;-19;U;normal;-11,212;Altona-Altstadt
Fischotterstieg;1;-20;S;normal;-3,22;Farmsen-Berne
Fischotterstieg;2;-18;G;normal;-3,248;Farmsen-Berne
Fitgerweg;2;-28;G;normal;-4,967;Wilhelmsburg
Fitgerweg;3;-   019b;U;normal;-4,997;Wilhelmsburg
Fitgerweg;30;-34;G;normal;-4,723;Wilhelmsburg
Flachsland;2;-4;G;normal;-7,052;Barmbek-Sued
Flachsland;10;-30;G;normal;-3,73;Barmbek-Sued
Flachsland;27;-47;U;normal;-3,444;Barmbek-Sued
Flagentwiet;1;-27;U;normal;-6,1;Schnelsen
Flagentwiet;29;-39;U;normal;-6,499;Schnelsen
Flagentwiet;56;-56;G;normal;-7,108;Schnelsen
Flagentwiet;66;-66;G;normal;-5,772;Schnelsen
Flamingoweg;1;-   005d;U;normal;-2,74;Stellingen
Flamingoweg;007a;-19;U;normal;-3,043;Stellingen
Flashoffs Treppe;1;-8;S;gut;11,414;Blankenese
Flashoffs Treppe;4;-6;G;gut;13,597;Blankenese
Flassbarg;1;-5;U;normal;-4,502;Lurup
Flassbarg;002a;-   024b;G;normal;-4,513;Lurup
Flassbarg;26;-28;G;normal;-4,607;Lurup
Flassbarg;047a;-119;U;normal;-4,658;Lurup
Flassbarg;60;-60;G;normal;-4,763;Lurup
Flassbarg;72;-76;G;normal;-4,843;Lurup
Flassbarg;86;-94;G;normal;-4,746;Lurup
Flassbarg;098a;-104;G;normal;-4,604;Lurup
Flassbarg;108a;-112;G;normal;-4,575;Lurup
Flassheide;1;-49;U;normal;-8,116;Stellingen
Flassheide;2;-44;G;normal;-8,235;Stellingen
Flassmoor;1;-14;S;normal;-4,705;Lurup
Flassweg;1;-37;U;normal;-4,234;Lurup
Flebbestrasse;1;-11;U;normal;-3,748;Wilstorf
Flebbestrasse;2;-30;G;normal;-3,702;Wilstorf
Flebbestrasse;13;-23;U;normal;-4,133;Wilstorf
Flebbestrasse;36;-56;G;normal;-4,019;Wilstorf
Fleestedter Strasse;1;-1;U;normal;-2,839;Sinstorf
Fleestedter Strasse;2;-4;G;normal;-3,539;Sinstorf
Fleetdamm;1;-1;U;gut;-0,259;Neuenfelde
Flemingstrasse;1;-13;U;gut;4,162;Winterhude
Flemingstrasse;2;-16;G;gut;4,082;Winterhude
Flensburger Strasse;3;-9;U;normal;-6,582;Tonndorf
Flensburger Strasse;15;-19;U;normal;-7,907;Tonndorf
Flerrenkamp;1;-19;S;gut;2,348;Rissen
Flerrentwiete;2;-22;G;gut;2,232;Rissen
Flerrentwiete;5;-   041b;U;normal;-2,46;Rissen
Flerrentwiete;28;-40;G;normal;-0,851;Rissen
Flerrentwiete;43;-45;U;normal;-3,098;Rissen
Flerrentwiete;44;-48;G;gut;-0,166;Rissen
Flerrentwiete;049a;-77;U;normal;-4,249;Rissen
Flerrentwiete;56;-68;G;gut;1,138;Rissen
Flerrentwiete;76;-82;G;normal;-1,302;Rissen
Flerrentwiete;79;-99;U;normal;-4,457;Rissen
Flerrentwiete;88;-   094b;G;gut;1,449;Rissen
Flerrentwiete;96;-102;G;gut;0,614;Rissen
Flethmannskamp;1;-   029b;S;gut;5,544;Volksdorf
Flett;1;-7;U;normal;-5,591;Marmstorf
Fliederweg;1;-9;U;gut;0,09;Fuhlsbuettel
Fliederweg;2;-14;G;gut;0,295;Fuhlsbuettel
Floot;2;-44;G;gut;3,295;Alsterdorf
Floot;3;-5;U;gut;2,87;Alsterdorf
Flora-Neumann-Strasse;2;-4;G;normal;-8,949;St. Pauli
Flotowstrasse;2;-20;G;normal;-6,813;Barmbek-Sued
Flotowstrasse;3;-23;U;normal;-6,636;Barmbek-Sued
Flotowstrasse;22;-   026d;G;normal;-7,277;Barmbek-Sued
Flotowstrasse;25;-37;U;normal;-7,378;Barmbek-Sued
Flottbeker Drift;1;-15;U;normal;-1,351;Bahrenfeld
Flottbeker Drift;2;-46;G;normal;-1,32;Bahrenfeld
Flottbeker Drift;17;-59;S;normal;-1,36;Bahrenfeld
Flottbeker Marktweg;1;-5;U;gut;2,025;Gross Flottbek
Flottbeker Stieg;1;-21;U;normal;-1,934;Bahrenfeld
Flottbeker Stieg;2;-20;G;normal;-1,654;Bahrenfeld
Flottbektal;2;-12;G;gut;7,579;Othmarschen
Flueggenhofstieg;1;-12;S;normal;-0,947;Marmstorf
Flueggestrasse;1;-15;U;normal;-4,421;Winterhude
Flueggestrasse;2;-16;G;normal;-4,522;Winterhude
Flughafenstrasse;31;-41;U;normal;-3,917;Fuhlsbuettel
Flughafenstrasse;51;-67;U;normal;-7,704;Fuhlsbuettel
Flughafenstrasse;69;-87;U;normal;-4,158;Fuhlsbuettel
Fluenkentwiete;2;-18;G;normal;-4,262;Wilhelmsburg
Flurkamp;1;-13;U;normal;-3,662;Osdorf
Flurkamp;2;-44;G;normal;-3,632;Osdorf
Flurstrasse;2;-22;G;normal;-4,704;Bahrenfeld
Flurstrasse;003a;-39;U;normal;-4,319;Bahrenfeld
Flurstrasse;24;-40;G;normal;-4,434;Bahrenfeld
Flurstrasse;43;-89;U;normal;-4,992;Bahrenfeld
Flurstrasse;48;-52;G;normal;-4,914;Bahrenfeld
Flurstrasse;56;-76;G;normal;-5,092;Bahrenfeld
Flurstrasse;80;-82;G;normal;-4,009;Bahrenfeld
Flurstrasse;84;-118;G;normal;-3,119;Bahrenfeld
Flurstrasse;107;-115;U;normal;-3,002;Bahrenfeld
Flurstrasse;117;-131;U;normal;-2,686;Bahrenfeld
Flurstrasse;120;-138;G;normal;-2,739;Bahrenfeld
Flurstrasse;133;-155;U;normal;-3,346;Bahrenfeld
Flurstrasse;140;-156;G;normal;-2,854;Bahrenfeld
Flurstrasse;165;-171;U;normal;-3,783;Bahrenfeld
Flurstrasse;183;-199;U;normal;-4,378;Bahrenfeld
Flurstrasse;201;-221;U;normal;-4,201;Bahrenfeld
Flurstrasse;202;-   212b;G;normal;-4,118;Bahrenfeld
Flurstrasse;214;-   222b;G;normal;-4,592;Bahrenfeld
Flurstrasse;228a;-   242b;G;normal;-4,5;Bahrenfeld
Flurstrasse;244;-   248f;G;normal;-3,975;Bahrenfeld
Flutende;1;-   015d;U;normal;-9,954;Harburg
Flutende;002a;-   002h;G;normal;-9,993;Harburg
Fockenweide;1;-43;U;normal;-16,371;Bergedorf
Fockenweide;2;-24;G;normal;-16,41;Bergedorf
Focksweg;1;-5;U;normal;-4,742;Finkenwerder
Focksweg;9;-9;U;normal;-4,46;Finkenwerder
Focksweg;13;-33;U;normal;-4,468;Finkenwerder
Focksweg;16;-20;G;normal;-4,442;Finkenwerder
Focksweg;26;-42;G;normal;-4,381;Finkenwerder
Focksweg;35;-49;U;normal;-4,694;Finkenwerder
Focksweg;51;-89;U;normal;-4,244;Finkenwerder
Fohlenweide;2;-2;G;normal;-3,926;Farmsen-Berne
Fohlenweide;10;-20;G;normal;-4,144;Farmsen-Berne
Fohlenweide;11;-23;U;normal;-4,201;Farmsen-Berne
Foehrenheide;1;-19;U;gut;0,046;Neugraben-Fischbek
Foehrenheide;4;-18;G;gut;0,077;Neugraben-Fischbek
Foehrenholt;1;-9;U;gut;5,485;Duvenstedt
Foehrenholtweg;1;-7;U;gut;1,34;Hausbruch
Foehrenholtweg;2;-22;G;gut;1,031;Hausbruch
Foehrenweg;1;-39;U;normal;-3,804;Fuhlsbuettel
Foehrenweg;2;-24;G;normal;-3,764;Fuhlsbuettel
Foehrenweg;26;-36;G;normal;-3,643;Fuhlsbuettel
Fohrwisch;1;-6;S;gut;1,765;Eidelstedt
Fohrwisch;7;-9;S;gut;2,439;Eidelstedt
Fontanestrasse;1;-11;U;gut;2,052;Osdorf
Fontanestrasse;2;-6;G;gut;1,921;Osdorf
Fontanestrasse;8;-20;G;gut;2,159;Osdorf
Fontenay;001a;-3;S;gut;22,065;Rotherbaum
Fontenay;11;-13;S;gut;22,115;Rotherbaum
Fontenay-Allee;1;-4;S;gut;22,247;Rotherbaum
Fontenay-Allee;5;-10;S;gut;22,312;Rotherbaum
Foorthkamp;4;-6;G;normal;-4,838;Langenhorn
Foorthkamp;5;-31;U;normal;-7,305;Langenhorn
Foorthkamp;8;-28;G;normal;-5,587;Langenhorn
Foorthkamp;033a;-73;U;normal;-8,161;Langenhorn
Foorthkamp;46;-46;G;normal;-7,693;Langenhorn
Foortstegel;1;-1;U;gut;1,435;Curslack
Foortstegel;4;-8;G;gut;1,458;Curslack
Foortstegel;5;-11;U;gut;1,266;Curslack
Foortstegel;12;-14;G;gut;1,399;Curslack
Foortstegel;23;-23;U;normal;-1,905;Curslack
Forbacher Strasse;1;-11;U;normal;-10,494;Dulsberg
Forbacher Strasse;2;-12;G;normal;-10,596;Dulsberg
